file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-22T04:54:02.313.fits,31,1,48.0,4039.8,2096.0,2309.9,173.14550474576282,-43.71039635629833,173.31436588708286,-43.81230337563749,59601.20645488519,59601.2064680378,4598.0,,,,,
OMEGA.2022-01-22T04:54:02.313.fits,32,2,48.0,2182.0,2096.0,452.1,173.32199159097007,-43.81985067395535,173.49146320793227,-43.921496586076806,59601.20646878518,59601.206481937785,4598.0,,,,,
OMEGA.2022-01-22T03:10:45.887.fits,13,1,48.0,1317.2,2096.0,1445.1,120.51079835010714,14.72293275201387,120.63631477067158,14.730762672463667,59601.13287363295,59601.13322252221,26378.0,,,,,
OMEGA.2022-01-03T07:32:33.192.fits,2,1,48.0,3459.4,1792.0,0.0,172.26028347080128,-44.51263200976457,172.40391317334658,-44.71829153044749,59582.315069987904,59582.315081472974,11299.0,,,,,
OMEGA.2022-01-03T07:32:33.192.fits,5,4,48.0,3235.2,1680.0,0.0,172.08557616987352,-44.260627493552256,172.21879787840675,-44.453171231974295,59582.31505580992,59582.315066738985,11299.0,,,,,
OMEGA.2022-01-03T02:20:08.139.fits,11,1,1584.0,4200.0,2096.0,2117.7,35.7659062372569,-6.1679196518465815,35.89008152027663,-6.137608206975436,59582.09741538903,59582.09744152008,26898.0,,,,,
OMEGA.2022-01-03T02:20:08.139.fits,12,2,48.0,1701.6,432.0,100.0,35.91489353541386,-6.132040425329453,36.010392361086694,-6.1092835233144935,59582.09744652501,59582.09746681806,26898.0,,,,,
OMEGA.2022-01-03T02:20:08.139.fits,15,3,528.0,4200.0,1504.0,100.0,35.49984520284661,-6.230334179773216,35.7443775171475,-6.172652110530434,59582.09735979,59582.0974109401,26898.0,,,,,
OMEGA.2022-01-03T02:20:08.139.fits,4,5,1504.0,4100.0,2096.0,1697.4,36.27878953294328,-6.045664243024494,36.42199554779104,-6.010479366161643,59582.09752353095,59582.09755383199,26898.0,,,,,
OMEGA.2022-01-03T02:20:08.139.fits,8,6,448.0,4100.0,1424.0,0.0,36.01295622039831,-6.108334953741955,36.25738934123616,-6.050417074862386,59582.09746737499,59582.09751880402,26898.0,,,,,
OMEGA.2022-01-03T08:01:32.026.fits,13,1,1952.0,4200.0,2096.0,3431.0,201.22408328577865,-47.09620161112769,201.23613496851883,-47.14184936142819,59582.334866885096,59582.33486827416,8319.0,,,,,
OMEGA.2022-01-03T08:01:32.026.fits,14,2,48.0,2854.7,544.0,100.0,201.24361795191408,-47.1760505162225,201.28527751658157,-47.33955477969919,59582.33486938709,59582.33487439016,8319.0,,,,,
OMEGA.2022-01-03T08:01:32.026.fits,3,3,48.0,4003.9,768.0,0.0,201.425439880566,-47.87717377900192,201.48765079472815,-48.114724504501446,59582.33489079308,59582.33489802014,8319.0,,,,,
OMEGA.2022-01-03T08:01:32.026.fits,6,4,1360.0,4100.0,2096.0,63.8,201.3543956142797,-47.606867355557846,201.41735815318643,-47.84638413098144,59582.33488245309,59582.33488968015,8319.0,,,,,
OMEGA.2022-01-03T01:18:01.318.fits,19,1,1360.0,4100.0,48.0,256.2,33.97389007774866,-21.22708889243377,33.89086817935192,-21.45511545282726,59582.05503974296,59582.05504566897,2920.0,,,,,
OMEGA.2022-01-03T01:18:01.318.fits,23,2,2096.0,1793.5,1472.0,0.0,34.02035242915021,-21.099375168191557,33.98096103264658,-21.20579085680793,59582.05503640696,59582.05503927497,2920.0,,,,,
OMEGA.2022-01-03T01:18:01.318.fits,24,3,752.0,4100.0,48.0,2050.0,34.070516490210764,-20.96250889977303,34.02615665187189,-21.084154787119232,59582.05503307097,59582.055035938974,2920.0,,,,,
OMEGA.2022-01-03T01:18:01.318.fits,28,4,2096.0,4007.6,768.0,100.0,34.15499411085507,-20.72805748548633,34.07152447287516,-20.959956981951592,59582.05502695497,59582.05503288098,2920.0,,,,,
OMEGA.2022-01-03T01:11:55.387.fits,24,1,1536.0,4100.0,2096.0,3202.9,34.11586491627548,-20.970707137021076,34.15160959593128,-21.023782039810172,59582.05262671923,59582.052627639845,45787.0,,,,,
OMEGA.2022-01-03T01:11:55.387.fits,27,2,1120.0,4200.0,2096.0,2630.2,33.95302735902979,-20.725491314612604,34.015142084993506,-20.81842206179445,59582.05262199277,59582.05262374785,45787.0,,,,,
OMEGA.2022-01-03T01:11:55.387.fits,28,3,48.0,2470.3,1520.0,100.0,34.02100303546477,-20.82788784838434,34.11484054008775,-20.96816091833248,59582.05262393877,59582.052626527846,45787.0,,,,,
OMEGA.2022-01-03T01:11:55.387.fits,30,4,496.0,4200.0,2096.0,1637.2,33.77734404033701,-20.46128630294228,33.878854989809184,-20.613088973079176,59582.05261698877,59582.05261985585,45787.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,10,1,1392.0,100.0,1920.0,4200.0,172.3857863465905,-44.212385407413045,172.43099362855358,-43.96946966693108,59582.31253113318,59582.31253844779,731.0,,,,,
